Model,MAE,RMSE,R² Score,Within 10%
LightGBM,0.03514020576322663,0.10113125053560952,0.22085317852684982,94.77%
XGBoost,0.03448300966752643,0.10126045254096819,0.21886108140694704,94.58%
Random Forest,0.034483379818198455,0.10134934254156927,0.21748905681807507,94.72%
Polynomial Regression,0.038082881936197924,0.10353074816532497,0.1834415955573333,95.62%
Linear Regression,0.04020928801890512,0.10533663696205779,0.15470666302925196,95.63%
Lasso,0.04019790093048622,0.10533700768437021,0.15470071315917777,95.61%
ElasticNet,0.04020770923155903,0.10533738269285277,0.15469469447734696,95.63%
SGD Regressor,0.04057972730903144,0.1053902614909255,0.15384580405159465,95.65%
K-Nearest Neighbors,0.05210390750210996,0.11577717945232911,-0.02116160797529254,95.87%
